Seasons,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,GIDP
8,181,288,23,39,8,6,2,25.0,1.0,35,126.0,0.0,1.0,14.0,0.0,0.0
7,416,1061,114,235,49,2,19,131.0,3.0,130,192.0,3.0,5.0,15.0,11.0,35.0
7,236,594,86,143,26,7,8,59.0,37.0,35,142.0,2.0,24.0,8.0,5.0,8.0
1,17,70,9,19,3,0,0,11.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
9,389,881,104,212,27,9,6,57.0,15.0,49,128.0,5.0,2.0,2.0,4.0,30.0
1,1,3,0,2,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,7,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
3,27,108,14,16,3,2,0,7.0,0.0,2,14.0,0.0,0.0,0.0,0.0,0.0
1,86,273,23,61,10,0,4,21.0,6.0,33,52.0,0.0,1.0,6.0,0.0,8.0
9,342,1031,155,268,49,8,15,114.0,42.0,104,228.0,1.0,24.0,21.0,10.0,9.0
1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,365,716,82,124,12,3,4,64.0,1.0,33,155.0,0.0,0.0,36.0,0.0,8.0
2,42,54,10,12,3,0,0,3.0,12.0,8,5.0,2.0,1.0,2.0,0.0,1.0
11,159,40,2,8,1,0,1,1.0,0.0,0,14.0,0.0,0.0,3.0,0.0,1.0
5,26,5,1,1,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0
2,8,9,2,1,1,0,0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,1.0
4,156,606,89,157,28,14,4,88.0,30.0,45,57.0,0.0,6.0,0.0,0.0,0.0
17,434,115,3,15,2,2,0,7.0,0.0,3,51.0,0.0,0.0,11.0,0.0,0.0
6,216,500,41,116,13,5,0,36.0,8.0,33,73.0,0.0,6.0,10.0,0.0,0.0
1,1,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,11,2,1,0,0,1,1.0,0.0,3,5.0,0.0,0.0,0.0,0.0,1.0
3,31,50,8,11,2,0,0,3.0,1.0,2,11.0,0.0,1.0,1.0,0.0,0.0
1,14,23,3,3,1,0,0,1.0,0.0,1,4.0,0.0,2.0,1.0,0.0,0.0
11,1195,3927,442,999,140,44,55,342.0,63.0,300,622.0,62.0,27.0,56.0,22.0,95.0
1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
