playerID,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed
jeando01,1,1,1,10,6,0,0,0,121,37,20,7,19,20,176.0,1,20
jeanete01,2,0,0,2,0,0,0,0,3,2,1,0,3,0,8.0,1,1
jeffcge01,4,7,11,70,9,4,1,3,509,159,85,12,100,86,762.0,32,101
jeffcha01,8,39,37,245,51,13,1,25,2091,772,327,73,257,239,3053.0,106,365
jeffcmi01,12,25,26,255,45,3,2,7,1500,576,243,49,149,242,2186.0,60,270
jeffeda01,2,1,1,6,2,0,0,0,51,16,11,3,6,9,71.0,1,11
jeffeje01,13,39,81,237,144,25,4,1,3257,1151,580,118,520,522,4786.0,40,642
jeffrje01,17,32,12,414,1,0,0,52,1273,387,145,31,175,387,1793.0,144,160
jenkich01,4,3,4,46,6,0,0,0,302,100,37,11,26,51,421.0,19,41
jenkife01,21,284,226,664,594,267,49,7,13502,4142,1669,484,997,3192,18400.0,37,1853
jenkija01,3,0,3,8,3,1,0,0,80,28,14,6,19,16,120.0,4,14
jenkity01,1,2,4,14,8,0,0,0,156,55,34,11,33,26,237.0,2,35
jenksbo01,7,16,20,348,0,0,0,173,1072,324,140,26,123,351,1499.0,286,149
jennida01,10,17,20,390,1,0,0,2,1046,341,120,25,157,281,1512.0,77,141
jennija01,9,62,74,225,180,6,3,1,3385,1253,621,137,505,749,5032.0,8,661
jensery01,4,17,12,57,42,1,0,0,758,279,142,36,103,152,1116.0,8,150
jensewi01,2,1,3,6,5,2,0,0,126,50,17,2,20,9,143.0,1,19
jepseke01,14,18,33,469,0,0,0,27,1250,400,185,37,169,373,1782.0,100,200
jerezwi01,4,1,0,29,0,0,0,0,76,29,15,5,17,24,119.0,5,19
jerzemi01,1,0,1,3,2,0,0,0,19,9,9,2,4,1,31.0,1,9
jestevi01,2,3,5,21,8,4,1,0,225,84,32,6,27,25,326.0,6,36
jewelja01,3,0,3,31,0,0,0,0,115,48,33,13,14,34,176.0,11,34
jimence01,8,2,3,97,3,0,0,0,313,96,47,10,45,80,441.0,27,47
jimenda01,1,0,0,1,0,0,0,0,4,0,0,0,0,0,4.0,1,0
jimenda02,1,0,0,2,0,0,0,0,4,1,1,0,3,1,8.0,1,1
jimened01,1,0,0,8,0,0,0,0,32,12,7,1,5,8,49.0,2,7
jimenge01,1,1,6,15,9,0,0,0,167,65,31,4,12,26,241.0,2,39
jimenja01,3,0,0,6,0,0,0,0,22,12,6,2,2,5,36.0,4,8
jimenjo01,7,24,44,329,38,2,2,110,1564,572,285,46,186,319,2307.0,231,309
jimenjo02,5,16,17,235,0,0,0,18,628,199,133,35,95,256,934.0,73,147
jimenju01,1,0,0,4,0,0,0,0,12,6,3,0,2,2,19.0,1,4
jimenke01,2,3,0,49,0,0,0,0,198,84,50,7,32,35,312.0,20,51
jimenmi01,2,2,4,13,11,0,0,0,183,65,40,14,48,35,293.0,0,45
jimenub01,14,114,117,329,315,9,3,1,5610,1757,901,186,848,1720,8094.0,4,968
joaquwa01,3,1,0,19,0,0,0,0,65,22,13,1,17,17,105.0,5,14
jodiebr01,3,0,2,8,3,0,0,0,76,26,18,10,13,13,109.0,0,18
johnsab01,1,0,0,1,0,0,0,1,3,2,4,0,2,0,8.0,1,4
johnsad01,2,1,3,9,4,0,0,0,79,40,30,7,14,17,132.0,1,33
johnsal02,1,0,0,1,1,0,0,0,12,6,4,0,3,3,20.0,0,5
johnsar01,1,0,0,1,0,0,0,0,9,1,0,0,1,0,11.0,0,1
johnsar02,3,7,16,49,19,6,0,1,587,203,80,7,79,71,853.0,15,100
johnsau01,2,6,4,36,14,3,1,1,341,118,68,6,70,41,530.0,13,78
johnsba01,8,43,51,185,97,22,6,17,2428,806,354,60,348,520,3511.0,48,395
johnsbe01,2,2,1,21,2,0,0,1,138,56,20,4,15,15,199.0,8,26
johnsbi04,2,1,0,14,0,0,0,0,53,21,7,0,4,7,74.0,4,7
johnsbo03,7,28,34,183,76,18,2,12,2077,644,268,82,269,507,2948.0,31,296
johnsbr02,4,7,9,65,26,1,1,0,513,192,90,27,73,142,767.0,13,95
johnsch02,5,40,43,111,85,44,9,2,2065,667,226,15,192,304,2816.0,13,338
johnsch03,1,0,0,5,3,0,0,0,54,20,10,0,13,8,84.0,2,12
johnsco01,7,40,39,123,100,34,8,1,2148,654,274,52,257,497,3004.0,11,302
johnsda03,4,4,10,53,7,0,0,2,326,126,56,9,44,50,486.0,29,62
johnsda04,5,22,25,77,57,7,0,0,1104,439,209,63,102,143,1606.0,9,215
johnsda05,3,6,2,63,0,0,0,2,201,70,35,6,47,57,314.0,18,40
johnsdj01,5,1,2,39,0,0,0,0,107,31,18,2,21,38,158.0,10,18
johnsdo03,11,27,38,198,70,17,5,12,1893,712,335,55,285,262,2814.0,62,371
johnsdo04,4,20,22,114,47,2,1,2,1158,420,220,44,152,180,1689.0,12,235
johnsea01,8,40,32,179,50,13,3,17,1639,556,261,24,272,250,2411.0,71,302
johnser02,9,40,23,273,19,3,1,19,1724,587,241,56,231,319,2494.0,119,283
johnser04,6,7,10,22,22,0,0,0,353,137,69,28,54,87,534.0,0,77
johnsfr01,4,5,10,27,12,6,0,3,354,145,69,12,44,39,530.0,12,78
johnsha01,12,63,56,249,116,45,4,11,3199,1107,563,89,567,568,4889.0,81,665
johnsja02,16,56,100,255,221,6,1,0,4071,1521,753,181,498,810,5996.0,8,831
johnsje01,12,48,51,365,39,6,2,41,2312,779,369,63,389,489,3425.0,184,422
johnsje02,3,8,16,38,33,0,0,0,547,239,132,20,58,76,829.0,3,143
johnsji02,5,24,37,100,63,35,0,0,1619,551,201,17,178,166,2236.0,24,256
johnsji03,1,1,0,3,0,0,0,0,20,8,6,0,5,2,33.0,0,6
johnsji04,17,38,46,674,2,0,0,178,2114,704,297,54,237,531,3000.0,324,330
johnsjo01,1,1,1,4,3,2,0,0,98,44,22,3,15,10,154.0,1,30
johnsjo03,2,3,2,51,1,0,0,7,289,110,45,2,59,49,457.0,27,53
johnsjo04,10,26,33,214,61,9,2,9,1808,585,261,60,250,407,2593.0,67,294
johnsjo05,5,20,18,62,58,3,0,0,982,367,163,30,99,149,1414.0,1,185
johnsjo06,5,3,5,59,0,0,0,2,257,66,41,10,37,61,356.0,18,42
johnsjo07,13,15,19,234,0,0,0,3,835,269,124,38,115,234,1208.0,52,138
johnsjo08,6,2,4,42,4,0,0,0,232,96,57,9,53,68,385.0,10,62
johnsjo09,9,58,45,170,160,4,0,0,2994,927,377,74,338,915,4176.0,1,410
johnske01,8,12,14,74,34,8,4,0,808,251,137,14,195,147,1217.0,20,156
johnske02,22,91,106,334,231,50,7,9,5212,1670,668,157,413,1042,7211.0,50,778
johnskr01,2,0,3,7,4,0,0,0,71,29,14,2,13,21,110.0,2,14
johnsll01,1,0,0,1,0,0,0,0,3,1,0,0,0,0,3.0,1,0
johnsma03,1,0,1,9,3,0,0,0,72,25,20,3,16,11,116.0,3,23
johnsmi01,1,0,2,18,0,0,0,0,64,29,11,1,15,15,109.0,10,13
johnsmi02,7,7,14,81,32,0,0,2,654,254,166,47,103,147,1003.0,10,169
johnsmi03,2,0,3,25,0,0,0,0,71,33,15,4,15,20,117.0,6,20
johnsol01,1,1,0,4,1,1,0,1,54,31,7,1,4,8,88.0,2,22
johnspi01,4,9,7,125,2,0,0,0,370,102,54,13,59,142,517.0,21,57
johnsra01,7,22,30,72,53,31,6,2,1350,401,146,12,151,169,928.0,11,182
johnsra02,1,1,0,7,0,0,0,0,30,14,4,0,3,0,47.0,5,10
johnsra05,26,303,166,618,603,100,37,2,12406,3346,1513,411,1497,4875,17067.0,7,1703
johnsro01,1,1,5,10,8,3,0,0,150,47,19,0,34,12,228.0,2,32
johnsro07,2,0,0,2,0,0,0,0,4,0,0,0,0,2,4.0,2,0
johnssi01,21,101,165,492,272,108,13,15,6844,2510,1036,120,687,840,9903.0,115,1226
johnsst02,4,6,1,43,5,0,0,0,228,58,36,11,47,86,328.0,19,36
johnssy01,21,112,117,542,210,82,11,43,6497,2290,977,173,488,920,9124.0,201,1099
johnsto02,5,23,14,129,1,0,0,22,820,282,103,19,93,166,1178.0,84,117
johnsty01,3,3,5,116,0,0,0,0,231,67,37,9,42,65,341.0,19,39
johnsvi01,3,6,8,42,15,4,1,2,379,152,71,5,69,31,583.0,18,77
johnswa01,21,417,279,802,666,531,110,34,17744,4913,1424,97,1363,3509,23642.0,129,1902
johnswa02,3,0,2,8,2,0,0,0,82,29,18,0,12,18,125.0,4,20
johnsyo01,2,1,2,6,2,1,0,0,93,39,15,0,14,8,144.0,4,24
johnto01,30,288,231,760,700,162,46,4,14131,4783,1749,302,1259,2245,19692.0,22,2017
joinero01,3,3,3,52,4,0,0,1,271,133,53,11,27,34,429.0,24,63
jokiser01,1,0,0,4,1,0,0,0,43,18,3,3,4,10,66.0,0,6
jollyda01,5,16,14,159,1,0,0,19,874,255,122,27,198,155,1313.0,82,137
jonesal01,6,7,15,26,24,18,1,0,601,199,83,3,77,65,886.0,2,137
jonesal02,3,2,1,27,0,0,0,5,86,29,12,3,16,19,124.0,16,13
jonesar01,1,0,0,1,0,0,0,0,3,2,2,0,1,0,5.0,1,2
jonesba01,12,33,33,348,0,0,0,23,1299,415,176,32,194,250,1850.0,126,199
